content,content_start,content_end,style,style_start,style_end,text
russian32.mp3,0.4,4.3,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian22.mp3,0.4,4.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian38.mp3,0.5,6.7,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian23.mp3,0.6,6.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian19.mp3,0.6,5.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian18.mp3,0.5,4.4,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian1.mp3,0.2,6.5,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian9.mp3,0.5,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian24.mp3,1.0,8.0,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"
russian17.mp3,0.6,5.2,english494.mp3,0.0,5.0,"Please call Stella. Ask her to bring these things with her from the store:"